# %ECSV 0.9
# ---
# datatype:
# - {name: filenames, datatype: string}
# - {name: filter/grism, datatype: object}
# - {name: nvisit, datatype: int64}
# - {name: norbit, datatype: int64}
# - {name: times, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: scan, datatype: int64}
# schema: astropy-2.0
filenames filter/grism nvisit norbit times t_orbit t_visit scan
ie3201zvq_ima.fits G141 0 2 58888.39815125 21.833596809301525 212.21652959939092 1
ie3201zwq_ima.fits G141 0 2 58888.39944755 23.70026880525984 214.08320159534924 0
ie3201zyq_ima.fits G141 0 2 58888.40074384 25.566926405299455 215.94985919538885 1
ie3201a1q_ima.fits G141 0 2 58888.40204014 27.43359840125777 217.81653119134717 0
ie3201a3q_ima.fits G141 0 2 58888.40333644 29.30027040769346 219.68320319778286 1
ie3201a4q_ima.fits G141 0 2 58888.40463273 31.166928007733077 221.54986079782248 0
ie3201a6q_ima.fits G141 0 2 58888.40592903 33.03360000369139 223.4165327937808 1
ie3201a8q_ima.fits G141 0 2 58888.40722532 34.900257603731006 225.2831903938204 0
ie3201aaq_ima.fits G141 0 2 58888.40852162 36.76692959968932 227.14986238977872 1
ie3201abq_ima.fits G141 0 2 58888.40981792 38.63360160612501 229.0165343962144 0
ie3201adq_ima.fits G141 0 2 58888.41111421 40.50025920616463 230.88319199625403 1
ie3201afq_ima.fits G141 0 2 58888.41241051 42.36693120212294 232.74986399221234 0
ie3201ahq_ima.fits G141 0 2 58888.41370681 44.233603208558634 234.61653599864803 1
ie3201aiq_ima.fits G141 0 2 58888.4150031 46.10026080859825 236.48319359868765 0
ie3201akq_ima.fits G141 0 2 58888.4162994 47.96693280455656 238.34986559464596 1
ie3201amq_ima.fits F130N 0 3 58888.44911199 0.0 285.59999519144185 -1
ie3201anq_ima.fits G141 0 3 58888.45001458 1.2997295998502523 286.8997247912921 0
ie3201apq_ima.fits G141 0 3 58888.45131088 3.1664016062859446 288.7663967977278 1
ie3201aqq_ima.fits G141 0 3 58888.45260718 5.033073602244258 290.6330687936861 0
ie3201arq_ima.fits G141 0 3 58888.45390347 6.899731202283874 292.4997263937257 1
ie3201asq_ima.fits G141 0 3 58888.45519977 8.766403198242188 294.36639838968404 0
ie3201atq_ima.fits G141 0 3 58888.45649607 10.63307520467788 296.23307039611973 1
ie3201auq_ima.fits G141 0 3 58888.45779236 12.499732804717496 298.09972799615934 0
ie3201avq_ima.fits G141 0 3 58888.45908866 14.36640480067581 299.96639999211766 1
ie3201awq_ima.fits G141 0 3 58888.46038495 16.233062400715426 301.8330575921573 0
ie3201axq_ima.fits G141 0 3 58888.46168125 18.099734407151118 303.69972959859297 1
ie3201ayq_ima.fits G141 0 3 58888.46297755 19.96640640310943 305.5664015945513 0
ie3201azq_ima.fits G141 0 3 58888.46427384 21.833064003149047 307.4330591945909 1
ie3201b0q_ima.fits G141 0 3 58888.46557014 23.69973599910736 309.2997311905492 0
ie3201b1q_ima.fits G141 0 3 58888.46686644 25.566408005543053 311.1664031969849 1
ie3201b2q_ima.fits G141 0 3 58888.4681631 27.43359840125777 313.0335935926996 0
ie3201b3q_ima.fits G141 0 3 58888.46945903 29.299737601540983 314.89973279298283 1
ie3201b4q_ima.fits G141 0 3 58888.47075532 31.1663952015806 316.76639039302245 0
ie3201b5q_ima.fits G141 0 3 58888.47205162 33.03306720801629 318.63306239945814 1
ie3201b6q_ima.fits G141 0 3 58888.47334792 34.899739203974605 320.49973439541645 0
ie3201b7q_ima.fits G141 0 3 58888.47464421 36.76639680401422 322.36639199545607 1
ie3201b8q_ima.fits G141 0 3 58888.47594051 38.633068799972534 324.2330639914144 0
ie3201b9q_ima.fits G141 0 3 58888.47723681 40.49974080640823 326.0997359978501 1
ie3201baq_ima.fits G141 0 3 58888.4785331 42.36639840644784 327.9663935978897 0
ie3201bbq_ima.fits G141 0 3 58888.4798294 44.233070402406156 329.833065593848 1
ie3201bcq_ima.fits G141 0 3 58888.4811257 46.09974239836447 331.6997375898063 0
ie3201bdq_ima.fits G141 0 3 58888.48242199 47.966399998404086 333.56639518984593 1
ie3206faq_ima.fits F130N 1 0 58946.04497003 0.0 0.0 -1
ie3206fbq_ima.fits G141 1 0 58946.04587299 1.3002623955253512 1.3002623955253512 0
ie3206ffq_ima.fits G141 1 0 58946.04716929 3.1669344019610435 3.1669344019610435 1
ie3206fhq_ima.fits G141 1 0 58946.04846558 5.03359200200066 5.03359200200066 0
ie3206fjq_ima.fits G141 1 0 58946.04976188 6.900263997958973 6.900263997958973 1
ie3206flq_ima.fits G141 1 0 58946.05105818 8.766935993917286 8.766935993917286 0
ie3206fmq_ima.fits G141 1 0 58946.05235447 10.633593593956903 10.633593593956903 1
ie3206foq_ima.fits G141 1 0 58946.05365077 12.500265600392595 12.500265600392595 0
ie3206fqq_ima.fits G141 1 0 58946.05494707 14.366937596350908 14.366937596350908 1
ie3206fsq_ima.fits G141 1 0 58946.05624336 16.233595196390525 16.233595196390525 0
ie3206ftq_ima.fits G141 1 0 58946.05753966 18.100267202826217 18.100267202826217 1
